
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.001014,	  1500,	  1500,	0.000300,	  1041,	  1041,	0.002634,	   459,	   459,	0.000000,	     0,	     0,	     0
   150,	0.000957,	  4500,	  4498,	0.000285,	  3123,	  3123,	0.002483,	  1377,	  1375,	0.000000,	     0,	     0,	     2
   250,	0.001060,	  7501,	  7500,	0.000282,	  5185,	  5185,	0.002801,	  2316,	  2315,	0.000000,	     0,	     0,	     1
   350,	0.001118,	 10499,	 10487,	0.000285,	  7340,	  7339,	0.003056,	  3159,	  3148,	0.000000,	     0,	     0,	    12
   450,	0.001045,	 13499,	 13484,	0.000306,	  9440,	  9439,	0.002764,	  4059,	  4045,	0.000000,	     0,	     0,	    15
   550,	0.001254,	 16501,	 16469,	0.000373,	 11444,	 11444,	0.003247,	  5057,	  5025,	0.000000,	     0,	     0,	    32
   650,	0.001232,	 19499,	 19469,	0.000402,	 13699,	 13699,	0.003190,	  5800,	  5770,	0.000000,	     0,	     0,	    30
   750,	0.001430,	 22501,	 22462,	0.000588,	 15784,	 15784,	0.003409,	  6717,	  6678,	0.000000,	     0,	     0,	    39
   850,	0.001621,	 25505,	 25466,	0.000652,	 17941,	 17941,	0.003920,	  7564,	  7525,	0.000000,	     0,	     0,	    39
   950,	0.002307,	 28501,	 28460,	0.000858,	 19871,	 19870,	0.005644,	  8630,	  8590,	0.000000,	     0,	     0,	    41
  1050,	0.002232,	 31497,	 31443,	0.000901,	 22002,	 22002,	0.005316,	  9495,	  9441,	0.000000,	     0,	     0,	    54
  1250,	0.003697,	 37502,	 37436,	0.002905,	 26185,	 26184,	0.005529,	 11317,	 11252,	0.000000,	     0,	     0,	    66
  1350,	0.002751,	 40496,	 40428,	0.001415,	 28229,	 28229,	0.005825,	 12267,	 12199,	0.000000,	     0,	     0,	    68
  1450, 0.003254,  43490,  43409, 0.002247,  30497,  30495, 0.005618,  12993,  12914, 0.000000,      0,      0,     81
  1550,	0.007581,	 46502,	 46390,	0.007562,	 32465,	 32465,	0.007624,	 14037,	 13925,	0.000000,	     0,	     0,	   112
  1650,	0.003428,	 49503,	 49420,	0.002404,	 34575,	 34575,	0.005800,	 14928,	 14845,	0.000000,	     0,	     0,	    83
  1750,	0.005602,	 52350,	 52244,	0.005240,	 36698,	 36696,	0.006451,	 15652,	 15548,	0.000000,	     0,	     0,	   106
  1950,	0.007519,	 58149,	 58001,	0.007220,	 40746,	 40744,	0.008219,	 17403,	 17257,	0.000000,	     0,	     0,	   148
