
#rate(req/sec),	 mean(sec),	 total_sent,	 total_recieved,	 get_mean(sec),	                 get_sent,	 get_received,	 put_mean(sec),	 put_sent,	 put_received,	                 delete_mean(sec),	 delete_sent,	 delete_received,	 lost
    50,	0.000964,	  1500,	  1500,	0.000313,	  1078,	  1078,	0.002627,	   422,	   422,	0.000000,	     0,	     0,	     0
   150,	0.000923,	  4501,	  4500,	0.000286,	  3143,	  3143,	0.002396,	  1358,	  1357,	0.000000,	     0,	     0,	     1
   250,	0.001009,	  7499,	  7497,	0.000278,	  5250,	  5250,	0.002715,	  2249,	  2247,	0.000000,	     0,	     0,	     2
   350,	0.001108,	 10500,	 10495,	0.000279,	  7429,	  7428,	0.003115,	  3071,	  3067,	0.000000,	     0,	     0,	     5
   450, 0.001165,  13501,  13485, 0.000328,   9400,   9400, 0.003084,   4101,   4085, 0.000000,      0,      0,     16   
   550,	0.001342,	 16500,	 16461,	0.000415,	 11620,	 11620,	0.003548,	  4880,	  4841,	0.000000,	     0,	     0,	    39
   650,	0.001244,	 19498,	 19470,	0.000413,	 13734,	 13734,	0.003226,	  5764,	  5736,	0.000000,	     0,	     0,	    28
   750,	0.001474,	 22503,	 22466,	0.000514,	 15686,	 15686,	0.003684,	  6817,	  6780,	0.000000,	     0,	     0,	    37
   850, 0.002109,  25506,  25466, 0.001199,  17895,  17894, 0.004250,   7611,   7572, 0.000000,      0,      0,     40
   950,	0.002105,	 28498,	 28458,	0.001046,	 19812,	 19812,	0.004521,	  8686,	  8646,	0.000000,	     0,	     0,	    40
  1050,	0.002919,	 31498,	 31446,	0.001525,	 22012,	 22011,	0.006155,	  9486,	  9435,	0.000000,	     0,	     0,	    52
  1250,	0.003075,	 37279,	 37212,	0.001967,	 26218,	 26215,	0.005702,	 11061,	 10997,	0.000000,	     0,	     0,	    67
  1350,	0.003216,	 40500,	 40413,	0.002069,	 28325,	 28325,	0.005884,	 12175,	 12088,	0.000000,	     0,	     0,	    87
  1550,	0.007271,	 46499,	 46397,	0.007226,	 32529,	 32528,	0.007374,	 13970,	 13869,	0.000000,	     0,	     0,	   102
  1650, 0.005316,  49499,  49410, 0.004589,  34774,  34774, 0.007033,  14725,  14636, 0.000000,      0,      0,     89
  1750,	0.007974,	 52494,	 52365,	0.007890,	 36707,	 36705,	0.008171,	 15787,	 15660,	0.000000,	     0,	     0,	   129
